id;nombre;categoria;cocina;ambientacion;telefono;horario;direccion;barrio
883;TOTEM & TABU;CAFE;MINUTAS;CLASICO PORTEÑO;4863 3360;;YRIGOYEN, HIPOLITO 3247;Balvanera
884;TOPACIO;RESTAURANTE;MINUTAS;;4954 3362;;RIVADAVIA AV. 2099;Balvanera
885;URQUIZA 508;CAFE;MINUTAS;CLASICO PORTEÑO;4931 7725;;URQUIZA, Gral. 508;Balvanera
886;VERO BAR;CAFE;;CLASICO PORTEÑO;4953 9837;;URIBURU JOSE E., Pres. 441;Balvanera
887;VIA MONT;CAFE;INTERNACIONAL;DISEÑO;4952 0033;;VIAMONTE 2116;Balvanera
888;VICTORIA'S;RESTAURANTE;SANDWICHERIA;;4953 2473;;PERON, JUAN DOMINGO, TTE. GENERAL 2099;Balvanera
889;VOLVER;RESTAURANTE;TRADICIONAL;CLASICO PORTEÑO;4952 4111;;RIVADAVIA AV. 2002;Balvanera
890;WISH;RESTAURANTE;MINUTAS;CLASICO PORTEÑO;4862 3804;;YRIGOYEN, HIPOLITO 3181;Balvanera
891;ZAPI;RESTAURANTE;;;;;TUCUMAN 2202;Balvanera
892;ZAPI;RESTAURANTE;;;4954 2039;;CORRIENTES AV. 1932;Balvanera
893;ZOE PIZZA & CAFE;RESTAURANTE;PORTEÑA;MODERNO;4961 8378;;AZCUENAGA 796;Balvanera
894;ZOO BAR;RESTAURANTE;MINUTAS;MODERNO;4374 4879;;TUCUMAN 2002;Balvanera
895;BAR HISPANO ARGENTINO;RESTAURANTE;MINUTAS;CLASICO PORTEÑO;4304 6036;;LUZURIAGA 301;Barracas
896;ARSENO;RESTAURANTE;PIZZERIA;CLASICO PORTEÑO;4301 7894;;ISABEL LA CATOLICA 1094;Barracas
897;CABAÑA COLONIA BARRACAS;RESTAURANTE;ALEMANA;ALEMANA;4301 2999;;OLAVARRIA 1601;Barracas
898;CAFETERIA F.A.S;RESTAURANTE;MINUTAS;CLASICO PORTEÑO;;;PERDRIEL 25;Barracas
899;CENTURY FOOD;RESTAURANTE;INTERNACIONAL;MODERNO;4301 5663;;MONTES DE OCA, MANUEL 1176;Barracas
900;CIEN MOTIVOS;CAFE;MINUTAS;CLASICO PORTEÑO;4303 1609;;SUAREZ 1502;Barracas
901;CHERIBO;CAFE;INTERNACIONAL;CLASICO PORTEÑO;4302 2585;;CRUZ, OSVALDO AV. 2099;Barracas
902;EL BURGUER MIX;RESTAURANTE;FAST FOOD;CLASICO PORTEÑO;4303 6006;;MONTES DE OCA, MANUEL 1336;Barracas
903;EL CORDOBES;RESTAURANTE;INTERNACIONAL;CLASICO PORTEÑO;;;RIO CUARTO 1308;Barracas
904;EL PAMPA;BAR;MINUTAS;FOLKLORICO;4301 4337;;MONTES DE OCA, MANUEL 1051;Barracas
905;EL PROGRESO;BAR;TRADICIONAL;ANTIGUO;4301 0671;;MONTES DE OCA, MANUEL 1702;Barracas
906;EL PATO;BAR;;;4301 9462;;GONCALVES DIAS 885;Barracas
907;EL PUENTECITO;BAR;TRADICIONAL;CLASICO PORTEÑO;4301 1794;;LUJAN 2101;Barracas
908;EL QUEQUE;RESTAURANTE;PARRILLA;CLASICO PORTEÑO;4301 6808;;VIEYTES 1184;Barracas
909;ESTUDIANTE;BAR;SANDWICHERIA;CLASICO PORTEÑO;;;MONTES DE OCA, MANUEL 1312;Barracas
910;EL REMANSO;RESTAURANTE;MINUTAS;CLASICO PORTEÑO;4307 4405;;PI Y MARGALL 1300;Barracas
911;HUGO CAFE;BAR;INTERNACIONAL;MODERNO;4302 0651;;VIEYTES 1603;Barracas
912;LA BANANA;;MINUTAS;CLASICO PORTEÑO;4301 0932;;ISABEL LA CATOLICA 752;Barracas
913;LA FLOR DE BARRACAS;RESTAURANTE;MINUTAS;;;;SUAREZ AV. 2095;Barracas
914;LA DESPENSA;;PARRILLA;ANTIGUO;4362 1616;;ISABEL LA CATOLICA 310;Barracas
915;LA NUEVA ARGENTINA;RESTAURANTE;PORTEÑA;CLASICO PORTEÑO;4303 7376;;SUAREZ 1399;Barracas
916;LA POSTA DE ANTONIO;RESTAURANTE;INTERNACIONAL;RUSTICA;4302 8062;;JOVELLANOS, GASPAR M. de 919;Barracas
917;LO DE MARIO;;INTERNACIONAL;MODERNO;4301 7227;;ISABEL LA CATOLICA 470;Barracas
918;LANIN;RESTAURANTE;PARRILLA;CLASICO PORTEÑO;4302 2811;;SUAREZ AV. 1999;Barracas
919;LOS CAMPEONES;;PIZZERIA;CLASICO PORTEÑO;4301 7813;;MONTES DE OCA, MANUEL 856;Barracas
920;LOS GURISES;RESTAURANTE;MINUTAS;CLASICO PORTEÑO;4306 1909;;PERDRIEL 35;Barracas
921;MANIAS;RESTAURANTE;MINUTAS;CLASICO PORTEÑO;;;CASEROS AV. 1952;Barracas
922;MARTIN;RESTAURANTE;PARRILLA;CLASICO PORTEÑO;4302 3719;;MONTES DE OCA, MANUEL 1602;Barracas
923;MATIAS BARRACAS;RESTAURANTE;INTERNACIONAL;MODERNO;4362 7061;;AZARA 108;Barracas
924;MISTER PIZZA;;PIZZERIA;MODERNO;4300 8300;;VALLE, ARISTOBULO DEL 1499;Barracas
925;MONTES DE OCA 101;;MINUTAS;CLASICO PORTEÑO;4300 7148;;MONTES DE OCA, MANUEL 101;Barracas
926;MUNDIAL;;PARRILLA;CLASICO PORTEÑO;4361 2602;;MONTES DE OCA, MANUEL 282;Barracas
927;MONTES DE OCA;;MINUTAS;CLASICO PORTEÑO;4303 5607;;MONTES DE OCA, MANUEL 1595;Barracas
928;MR. PIZZA;;PIZZERIA;MODERNO;4301 4301;;MONTES DE OCA, MANUEL 1424;Barracas
929;OASIS;;MINUTAS;CLASICO PORTEÑO;;;VELEZ SARSFIELD AV. 402;Barracas
930;PAPITO;RESTAURANTE;MINUTAS;CLASICO PORTEÑO;;;CASEROS AV. 1968;Barracas
931;PANCHOS 95;CAFE;FAST FOOD;CLASICO PORTEÑO;;;MONTES DE OCA, MANUEL 95;Barracas
932;PARODI II;RESTAURANTE;MINUTAS;CLASICO PORTEÑO;;;MONTES DE OCA, MANUEL 368;Barracas
933;PIZZA CAFE LA ESQUINA;RESTAURANTE;MINUTAS;COLONIAL;4304 5560;;FINOCHIETTO ENRIQUE DR. 1701;Barracas
934;RIQUI;RESTAURANTE;;;;;PERDRIEL 59;Barracas
935;SAN MIGUEL;RESTAURANTE;PARRILLA;CLASICO PORTEÑO;4303 4598;;MONTES DE OCA, MANUEL 1002;Barracas
936;SPEED WEB;CAFE;SANDWICHERIA;MODERNO;5941 9699;;MONTES DE OCA, MANUEL 1186;Barracas
937;SEÑOR TANGO;RESTAURANTE;INTERNACIONAL;TANGO;4303 0231;;VIEYTES 1655;Barracas
938;THE FOX;CAFE;MINUTAS;BRITANICA;4306 0055;;PERDRIEL 27;Barracas
939;UNDICI;;PORTEÑA;MODERNO;4300 6991;;MONTES DE OCA, MANUEL 510;Barracas
940;ZAPI;RESTAURANTE;PIZZERIA;CLASICO PORTEÑO;4432 0678;;MONTES DE OCA, MANUEL 1402;Barracas
941;VIEJO DERBI;;INTERNACIONAL;CLASICO PORTEÑO;4300 9247;;DEFENSA 1809;Barracas
942;BOEDO ANTIGUO;RESTAURANTE;TRADICIONAL;CLASICO PORTEÑO;4921 3500;;MARMOL, JOSE 1692;Boedo
943;CAFE BAR;RESTAURANTE;MINUTAS;CLASICO PORTEÑO;;;LA PLATA AV. 1620;Boedo
944;DELU;RESTAURANTE;TRADICIONAL;;4931 3230;lunes a domingo de 12 a 15 y de 20 a 00;BOEDO AV. 787;Boedo
945;ESQUINA DE OSVALDO PUGLIESE;;DE AUTOR;ANTIGUO;4931 2142;;BOEDO AV. 909;Boedo
946;DOS MUNDOS;RESTAURANTE;PARRILLA;;4931 1619;lunes a lunes de 12 a 15 y de 20 a 00;INDEPENDENCIA AV. 3601;Almagro
947;ESQUINA HOMERO MANZI;;INTERNACIONAL;TANGO;4957 8488;domingo a viernes de 6 al cierre;SAN JUAN AV. 3601;Boedo
948;FAROLITO;;MINUTAS;CLASICO PORTEÑO;4925 3377;;CHICLANA AV. 3819;Boedo
949;MAMMA SILVIA;RESTAURANTE;ITALIANA;ITALIANA;;martes a domingo de 12 a 15 y de 20 a 00;LA PLATA AV. 1988;Boedo
950;LA TACITA;;INTERNACIONAL;;4921 3116;lunes a lunes de 12 a 15 y de 20 a 00;BOEDO AV. 1595;Boedo
951;PAN Y TEATRO;RESTAURANTE;TRADICIONAL;;4924 6920;martes a domingo de 12 a 15 y de 20 a 00;LAS CASAS 4095;Boedo
952;PARRILLA PIZZA CAFE;;PARRILLA;MODERNO;4921 1026;;CASEROS AV. 3849;Boedo
953;PININ;;INTERNACIONAL;;4931 8758;lunes a domingo de 12 a 15 y de 20 a 00;CALVO, CARLOS 3629;Boedo
954;POR USTEDES;;MINUTAS;CLASICO PORTEÑO;;;GIBSON 4104;Boedo
955;TRIANA;;PIZZERIA;;4925 0512;lunes a domingo mediodía y noche;LA PLATA AV. 802;Boedo
956;ALO - ALO;RESTAURANTE;TRADICIONAL;ELEGANTE;4902 8050;;RIVADAVIA AV. 4945;Caballito
957;AMERICA;RESTAURANTE;TRADICIONAL;;4982 0398;lunes a domingo mediodía y noche;HIDALGO 899;Caballito
958;ALTO GOYENO;RESTAURANTE;TRADICIONAL;MODERNO;4924 6500;;GOYENA, PEDRO AV. 599;Caballito
959;ARMY CAFE;RESTAURANTE;INTERNACIONAL;MODERNO;4903 8802;;RIVADAVIA AV. 5000;Caballito
960;ARRIGO;CAFE;;;;;LA PLATA AV. 479;Caballito
961;BAMBO;CAFE;MINUTAS;MODERNO;4431 9434;;RIVADAVIA AV. 5647;Caballito
962;AVE FENIX;CAFE;PORTEÑA;CLASICO PORTEÑO;4585 7800;;JUSTO, JUAN B. AV. 4242;Caballito
963;BANCHERO;CAFE;PIZZERIA;CLASICO PORTEÑO;4901 6430;lunes a domingo de 12 a 15 y de 20 a 00;RIVADAVIA AV. 5401;Caballito
964;BANCHERO OESTE;RESTAURANTE;PIZZERIA;CLASICO PORTEÑO;4901 6430;;RIVADAVIA AV. 5401;Caballito
965;BRAVO;CAFE;MINUTAS;MODERNO;4901 4837;;RIVADAVIA AV. 4701;Caballito
966;BAR MUNICIPAL;RESTAURANTE;;;;;AVELLANEDA 550;Caballito
967;BUON;CAFE;;;;;RIVADAVIA AV. 6200;Caballito
968;BURGUER KING;RESTAURANTE;;;;;RIVADAVIA AV. 4607;Caballito
969;CAFE ALBERDI;CAFE;MINUTAS;ELEGANTE;4923 6816;;ALBERDI, JUAN BAUTISTA AV. 500;Caballito
970;CABALLITO SPORT;RESTAURANTE;MINUTAS;CLASICO PORTEÑO;4586 3231;;ALVAREZ, DONATO, Tte. Gral. 1481;Caballito
971;CAFE DE GARCIA;CAFE;MINUTAS;CLASICO PORTEÑO;;;SAN MARTIN AV. 1828;Caballito
972;CAFE DE LA SUBASTA;BAR;MINUTAS;ANTIGUO;;;RIO DE JANEIRO 54;Caballito
973;CAFE JONATHAN;BAR;INTERNACIONAL;ELEGANTE;4902 5473;;MORENO, JOSE MARIA AV. 304;Caballito
974;CAFE DE LA ESQUINA;RESTAURANTE;;;;;ROSARIO 495;Caballito
975;CAPRICCIO;RESTAURANTE;TRADICIONAL;CLASICO PORTEÑO;4924 9942;;GOYENA, PEDRO AV. 358;Caballito
976;CALCIO;RESTAURANTE;INTERNACIONAL;FUTBOL;4988 9289;;RIVADAVIA AV. 5701;Caballito
977;CENTENERA;RESTAURANTE;REGIONAL;RUSTICA;4901 1533;;ALBERDI, JUAN BAUTISTA AV. 914;Caballito
978;CIRCULO 9 DE JULIO;RESTAURANTE;MARISCOS;ESPAÑOL;4902 7342;lunes a domingo de 12 a 15 y de 20 a 00;ALBERDI, JUAN BAUTISTA AV. 568;Caballito
979;CO Y CINA;RESTAURANTE;PIZZERIA;MODERNO;4904 2202;;RIVADAVIA AV. 4895;Caballito
980;CLASS;RESTAURANTE;SANDWICHERIA;ELEGANTE;4922 3136;;LA PLATA AV. 797;Caballito
981;CUTTER'S CAFE;RESTAURANTE;;;;;PUEYRREDON, HONORIO, DR. AV. y JUSTO, JUAN B. AV.;Villa Crespo
982;DI MAMA;RESTAURANTE;TRADICIONAL;CLASICO PORTEÑO;;;JUSTO, JUAN B. AV. 4358;Caballito
983;DON GAUNA;RESTAURANTE;PARRILLA;CAMPESTRE;;;GAONA AV. 1537;Caballito
984;DON ZENON;RESTAURANTE;PARRILLA;CLASICO PORTEÑO;4856 9864;martes a domingo de 12 a 15 y de 20 a 00;DRAGO, LUIS MARIA 99;Villa Crespo
985;EL BOMBON;RESTAURANTE;SANDWICHERIA;MODERNO;;;GOYENA, PEDRO AV. 627;Caballito
986;EL CAFE DE CABALLITO;CAFE;SANDWICHERIA;MODERNO;;;RIVADAVIA AV. 5108;Caballito
987;EL CREADOR;RESTAURANTE;PARRILLA;CLASICO PORTEÑO;4925 4861;;GOYENA, PEDRO AV. 99;Caballito
988;EL COLECCIONISTA;CAFE;SANDWICHERIA;CLASICO PORTEÑO;4902 7954;;RIVADAVIA AV. 4929;Caballito
989;EL DESTINO;RESTAURANTE;INTERNACIONAL;CLASICO PORTEÑO;4982 1181;;DIAZ VELEZ AV. 5568;Caballito
990;EL LAZO;RESTAURANTE;;CLASICO PORTEÑO;4903 8328;lunes a domingo de 12 a 15 y de 20 a 00;ALBERDI, JUAN BAUTISTA AV. 334;Caballito
991;EL PALACIO I;;PIZZERIA;MODERNO;4902 2246;lunes a domingo mediodía y noche;RIVADAVIA AV. 4994;Caballito
992;EL METRO;RESTAURANTE;INTERNACIONAL;MODERNO;4922 4927;lunes a domingo de 12 a 15 y de 20 a 00;LA PLATA AV. 1385;Parque Chacabuco
993;EL POLLO RICARDO;;PARRILLA;CLASICO PORTEÑO;4433 4191;;HUALFIN 1100;Caballito
994;EL RINCONCITO;RESTAURANTE;PIZZERIA;MODERNO;4923 3638;lunes a domingo de 12 a 15 y de 20 a 00;GOYENA, PEDRO AV. 296;Caballito
995;EL SOLAR;RESTAURANTE;MINUTAS;MODERNO;4921 3335;;DIRECTORIO AV. 471;Caballito
996;EL SULKY;RESTAURANTE;PARRILLA;;;;VIEL 712;Caballito
997;FARAON;PUB;SANDWICHERIA;MODERNO;4632 6262;;GOYENA, PEDRO AV. 1699;Caballito
998;FRULATO;CAFE;MINUTAS;CLASICO PORTEÑO;;;LA PLATA AV. 701;Caballito
999;EL SURTIDOR;RESTAURANTE;;;;;ACEVEDO, EDUARDO 373;Caballito
1000;FILADELFIA;PUB;MINUTAS;CLASICO PORTEÑO;4582 0255;;JUSTO, JUAN B. AV. 4102;Caballito
1001;GULE;CAFE;;;;;DIRECTORIO AV. 553;Caballito
1002;HONORIO;;PARRILLA;;4903 7486;lunes a viernes de 20 a 00 - sábado y domingo de 20 a 00;PUEYRREDON, HONORIO, DR. AV. 606;Caballito
1003;JARRITO;CAFE;TRADICIONAL;CLASICO PORTEÑO;;;ROSARIO 400;Caballito
1004;LA ESQUINA DE LAS FLORES;RESTAURANTE;NATURISTA;;;;GOYENA, PEDRO AV. 1469;Caballito
1005;IBIZA;;MINUTAS;MODERNO;4585 7265;;JUSTO, JUAN B. AV. 4098;Caballito
1006;KARILI;CAFE;MINUTAS;ANTIGUO;4983 3369;;AVELLANEDA 399;Caballito
1007;LA BAMBULA;RESTAURANTE;INTERNACIONAL;;;;GOYENA, PEDRO AV. 201;Caballito
1008;LA BOHEMIA;CAFE;;;4633 2971;;YERBAL 1657;Caballito
1009;LA CONTINENTAL;RESTAURANTE;PIZZERIA;CLASICO PORTEÑO;4374 1444;;RIVADAVIA AV. 5434;Caballito
1010;LA CAMPIÑA;CAFE;MINUTAS;RUSTICA;4433 3400;;ALBERDI, JUAN BAUTISTA AV. 1228;Caballito
1011;LA EULOGIA;RESTAURANTE;REGIONAL;RUSTICA;4433 1010;;GOYENA, PEDRO AV. 1002;Caballito
1012;LA FONDA PORTEÑA;RESTAURANTE;REGIONAL;ITALIANA;;;ALBERDI, JUAN BAUTISTA AV. 931;Caballito
1013;LA POSTA DE ACHAVAL;RESTAURANTE;PIZZERIA;CLASICO PORTEÑO;4432 3170;;DIRECTORIO AV. 1497;Caballito
1014;LAS CLARITAS;RESTAURANTE;;;;;ALBERDI, JUAN BAUTISTA AV. 60;Caballito
1015;LA OBRA;RESTAURANTE;;;4433 5858;;GOYENA, PEDRO AV. 1418;Caballito
1016;LA PUERTA DE ALCALA;RESTAURANTE;MINUTAS;CLASICO PORTEÑO;4584 3210;;GAONA AV. 1801;Caballito
1017;LAMON DI;RESTAURANTE;PORTEÑA;MODERNO;4588 3325;;JUSTO, JUAN B. AV. 4040;Caballito
1018;LO DE CHOLO;RESTAURANTE;PARRILLA;CLASICO PORTEÑO;4584 7601;;GAONA AV. 1699;Caballito
1019;LOCOS X EL FUTBOL;RESTAURANTE;PORTEÑA;FUTBOL;4901 3352;;RIVADAVIA AV. 4751;Caballito
1020;LOCA BOHEMIA;RESTAURANTE;MINUTAS;MODERNO;4922 7113;;LA PLATA AV. 727;Caballito
1021;LOS CAPITELES DE GOYENA;RESTAURANTE;DE AUTOR;RUSTICA;4921 2546;;GOYENA, PEDRO AV. 301;Caballito
1022;LOS CHANCHITOS;RESTAURANTE;PARRILLA;RUSTICA;4856 6535;;GALLARDO, ANGEL AV. 601;Villa Crespo
1023;MACARENA;RESTAURANTE;TRADICIONAL;CLASICO PORTEÑO;4432 2881;;RIVADAVIA AV. 5499;Caballito
1024;LOS PORTUGUESES;RESTAURANTE;TRADICIONAL;CLASICO PORTEÑO;4982 6491;;GALLARDO, ANGEL AV. 800;Caballito
1025;MAIZALES;RESTAURANTE;ITALIANA;MODERNO;4904 0081;lunes a domingo mediodía y noche;MORENO, JOSE MARIA AV. 335;Caballito
1026;MAMARELLA;RESTAURANTE;MINUTAS;BOHEMIO;4903 2477;;CAMPICHUELO 200;Caballito
1027;MANGGIATA;RESTAURANTE;ITALIANA;ITALIANA;4982 6843;;GALLARDO, ANGEL AV. 1008;Caballito
1028;MC DONALD'S;RESTAURANTE;FAST FOOD;MODERNO;;;RIVADAVIA AV. 5700;Caballito
1029;MC DONALD'S;RESTAURANTE;FAST FOOD;MODERNO;;;RIVADAVIA AV. 5730;Caballito
1030;MC DONALD'S;RESTAURANTE;FAST FOOD;MODERNO;;;RIVADAVIA AV. 4515;Almagro
1031;MC DONALD'S;RESTAURANTE;FAST FOOD;MODERNO;;;RIVADAVIA AV. 5108;Caballito
1032;MC DONALD'S;RESTAURANTE;FAST FOOD;MODERNO;;;RIVADAVIA AV. 5703;Caballito
1033;MIRAMAR;CAFE;MINUTAS;ANTIGUO;4433 5052;;ALBERDI, JUAN BAUTISTA AV. 1302;Caballito
1034;MOCTEZUMA;RESTAURANTE;PARRILLA;MEDITERRANEO;4584 5801;;GAONA AV. 1363;Caballito
1035;MITZVA;CAFE;JUDIA;CLASICO PORTEÑO;4581 6815;;SAN MARTIN AV. 1518;Caballito
1036;NIXTO;RESTAURANTE;MINUTAS;CLASICO PORTEÑO;4989 0002;;GALLARDO, ANGEL AV. 612;Caballito
1037;NUEVO CANDILEJAS;RESTAURANTE;INTERNACIONAL;CLASICO PORTEÑO;4584 5619;;GAONA AV. 1499;Caballito
1038;P. CAPITAN;RESTAURANTE;INTERNACIONAL;;4958 1813;lunes a lunes de 12 a 15 y de 20 a 00;DIAZ VELEZ AV. 5401;Caballito
1039;OYE CHICO;RESTAURANTE;CUBANA;CUBANA;4634 2016;;YERBAL 1655;Caballito
1040;PARADOJAS;RESTAURANTE;MINUTAS;POP;4982 7190;;GALLARDO, ANGEL AV. 702;Caballito
1041;PARRIKA;RESTAURANTE;CENTROEUROPEA;;4922 5200;;MORENO, JOSE MARIA AV. 770;Caballito
1042;PARRILLA CABALLITO;RESTAURANTE;PARRILLA;CLASICO PORTEÑO;4901 1972;;BARCO CENTENERA del 138;Caballito
1043;PASEO DE LA MAGNOLIA;RESTAURANTE;;;;;RIVADAVIA AV. 5377;Caballito
1044;PARRILLA AMARILLA;RESTAURANTE;;;;;PUEYRREDON, HONORIO, DR. AV. 1050;Caballito
1045;PARRILLA LAS PEPAS;RESTAURANTE;PARRILLA;MODERNO;4904 3000;;SAN JOSE DE CALASANZ 20;Caballito
1046;PASEO DEL SOL;RESTAURANTE;PIZZERIA;;4981 3605;lunes a lunes de 12 a 15 y de 20 a 00;DIAZ VELEZ AV. 5005;Caballito
1047;PEDRO 94;RESTAURANTE;MEDITERRANEA;;;;GOYENA, PEDRO AV. 94;Caballito
1048;PETRA'S;RESTAURANTE;TRADICIONAL;MODERNO;4903 8975;;DOBLAS 220;Caballito
1049;PERSICCO;RESTAURANTE;SANDWICHERIA;MODERNO;4904 0900;;RIVADAVIA AV. 4933;Caballito
1050;PIZZA- PIZZA;RESTAURANTE;PIZZERIA;ELEGANTE;;;RIVADAVIA AV. 5033;Caballito
1051;PIZZA Y CAFE EL QUIJOTE;RESTAURANTE;PIZZERIA;ELEGANTE;4432 6694;;GOYENA, PEDRO AV. 736;Caballito
1052;PLAZA;CAFE;SANDWICHERIA;ELEGANTE;4902 2903;;RIVADAVIA AV. 4732;Caballito
1053;PLATON;RESTAURANTE;TRADICIONAL;CLASICO PORTEÑO;4432 3836;;PUAN 483;Caballito
1054;PLAZA DEL CARMEN;CAFE;ESPAÑOLA;MODERNO;4901 9384;;RIVADAVIA AV. 4502;Caballito
1055;PLAZA TRIANA;RESTAURANTE;MINUTAS;MODERNO;;;RIVADAVIA AV. 5103;Caballito
1056;PLENO SOL ASADOR CRIOLLO;RESTAURANTE;PARRILLA;CLASICO PORTEÑO;4433 4946;;GARCIA LORCA, FEDERICO 399;Caballito
1057;PUCARA;RESTAURANTE;;;;;ALBERDI, JUAN BAUTISTA AV. 493;Caballito
1058;PUERTA DEL SOL;RESTAURANTE;MINUTAS;CLASICO PORTEÑO;;;ROSARIO 900;Caballito
1059;PUENTE DE PIEDRA;RESTAURANTE;TRADICIONAL;MODERNO;4921 8500;;ALBERDI, JUAN BAUTISTA AV. 344;Caballito
1060;RETABLO;RESTAURANTE;MINUTAS;CLASICO PORTEÑO;4902 1668;;LA PLATA AV. 293;Caballito
1061;RITUAL;CAFE;TRADICIONAL;MODERNO;4904 0476;;MORENO, JOSE MARIA AV. 144;Caballito
1062;SALI DE LA CORNIZA;PUB;MINUTAS;AUTOS;;;DIRECTORIO AV. 843;Caballito
1063;SABIS;CAFE;;;;;MORENO 723;Monserrat
1064;SAN CAMILO;PUB;MINUTAS;CLASICO PORTEÑO;4982 1789;;GALLARDO, ANGEL AV. 894;Caballito
1065;SAN CARLOS;CAFE;INTERNACIONAL;MODERNO;4902 0324;;RIVADAVIA AV. 4548;Caballito
1066;SIGLO XXI;CAFE;MINUTAS;MODERNO;;;JUSTO, JUAN B. AV. 4120;Caballito
1067;SOCRATES;CONFITERIA;SANDWICHERIA;CLASICO PORTEÑO;4432 5082;;GOYENA, PEDRO AV. 1402;Caballito
1068;SPIAGGE DI NAPOLI;CONFITERIA;ITALIANA;;4931 4420;lunes a domingo mediodía y noche;INDEPENDENCIA AV. 3527;Almagro
1069;SUPERRED;PUB;;;;;LA PLATA AV. 351;Caballito
1070;TADEO;RESTAURANTE;PARRILLA;CLASICO PORTEÑO;;;DIRECTORIO AV. 1500;Parque Chacabuco
1071;THOMPSON;RESTAURANTE;TRADICIONAL;ELEGANTE;;;DIRECTORIO AV. 801;Caballito
1072;TACO'S;PUB;;;;;MORENO, JOSE MARIA AV. 714;Caballito
1073;TALNASSONS;RESTAURANTE;MODERNO;;4924 2796;;MORENO, JOSE MARIA AV. 735;Caballito
1074;TIA MARGARITA;RESTAURANTE;;;;;GOYENA, PEDRO AV. 500;Caballito
1075;TORONTO;;INTERNACIONAL;ESPAÑOL;4981 6397;;RIVADAVIA AV. 4471;Almagro
1076;TURULECA;RESTAURANTE;INTERNACIONAL;;4923 9106;lunes a lunes de 12 a 15 y de 20 a 00;GOYENA, PEDRO AV. 500;Caballito
1077;TRAMWURAY CAFE;;TRADICIONAL;ANTIGUO;4432 8698;;DIRECTORIO AV. 1101;Caballito
1078;VIEJA ESQUINA;RESTAURANTE;PARRILLA;CLASICO PORTEÑO;4903 2418;;BOGOTA 42;Caballito
1079;VITORIO;RESTAURANTE;ITALIANA;ROMANTICO;4432 3426;;MITRE, EMILIO 383;Caballito
1080;VITREAUX;RESTAURANTE;TRADICIONAL;ELEGANTE;4432 3316;;DIRECTORIO AV. 1295;Caballito
1081;VIVACE;RESTAURANTE;MEDITERRANEA;MODERNO;4433 3936;;GOYENA, PEDRO AV. 1382;Caballito
1082;WINTER;RESTAURANTE;MINUTAS;MODERNO;4631 7883;;YERBAL 1617;Caballito
1083;YEDRON;RESTAURANTE;TRADICIONAL;CLASICO PORTEÑO;;;AVELLANEDA 1032;Caballito
1084;CONGRESO3795;RESTAURANTE;TRADICIONAL;MODERNO;4541 8400;;CONGRESO AV. 3795;Coghlan
1085;COGHLAN;RESTAURANTE;;;;;MONROE AV. 3600;Belgrano
1086;EL VIVERO CAFE;RESTAURANTE;SANDWICHERIA;ART- DECO;4544 8129;;MONROE 3701;Coghlan
1087;KASS;RESTAURANTE;MINUTAS;CLASICO PORTEÑO;4542 1625;;MONROE AV. 3495;Coghlan
1089;LA QUINTA ESTACION;RESTAURANTE;TRADICIONAL;CLASICO PORTEÑO;4542 0303;;CONGRESO AV. 3701;Coghlan
1090;LOS LEÑOS;RESTAURANTE;MINUTAS;CLASICO PORTEÑO;4545 6110;;MONROE 3901;Villa Urquiza
1091;PITOPA;RESTAURANTE;;;;;MONROE AV. 3400;Belgrano
1092;ZAPI;RESTAURANTE;PIZZERIA;MODERNO;4300 5461;;SALTA 1531;Constitucion
1093;AL BAR;BAR;INTERNACIONAL;MODERNO;4300 5208;;SAN JUAN AV. 915;Constitucion
1094;ALBOR;BAR;PARRILLA;CLASICO PORTEÑO;;;CALVO, CARLOS 819;Constitucion
1095;AMIKO;RESTAURANTE;PIZZERIA;;4381 4807;lunes a domingo de 12 a 15 y de 20 a 00;LIMA 700;Monserrat
1096;BAR DON;RESTAURANTE;INTERNACIONAL;CLASICO PORTEÑO;4304 2852;;CALVO, CARLOS 1402;Constitucion
1097;BARTOLO;CAFE;MINUTAS;MODERNO;4304 6113;;LIMA 1749;Constitucion
1098;BAR & CO;RESTAURANTE;;;;;ENTRE RIOS AV. 1322;Constitucion
1099;BAR MICHI;RESTAURANTE;MINUTAS;;;;BRASIL 1302;Constitucion
1100;BOREAL;CAFE;MINUTAS;CLASICO PORTEÑO;4304 8529;;SALTA 1391;Constitucion
1101;CHANTO OTTO;CAFE;;CLASICO PORTEÑO;;;SANTIAGO DEL ESTERO 1594;Constitucion
1102;CONFITERIA SAN JOSE;CONFITERIA;;;;;CALVO, CARLOS 1400;Constitucion
1103;CHARLY BAR;CAFE;MINUTAS;CLASICO PORTEÑO;4305 5252;;PAVON 1299;Constitucion
1104;DIEGO BAR;BAR;MINUTAS;CLASICO PORTEÑO;;;SANTIAGO DEL ESTERO 1697;Constitucion
1105;EL DEPO;BAR;MINUTAS;CLASICO PORTEÑO;4305 9894;;PAVON 1201;Constitucion
1106;EL ENCUENTRO;RESTAURANTE;SANDWICHERIA;CLASICO PORTEÑO;4300 5226;;CALVO, CARLOS 400;San Telmo
1107;EL QUIJOTE;RESTAURANTE;MINUTAS;CLASICO PORTEÑO;4305 2321;;BRASIL 1499;Constitucion
1108;LA CENTRAL;RESTAURANTE;MINUTAS;MODERNO;4304 5577;;GARAY, JUAN DE AV. 1182;Constitucion
1109;EL GAUCHITO GIL;RESTAURANTE;PARRILLA;MODERNO;;;SALTA 1567;Constitucion
